Voltage control
Voltage is set directly according to setter.

Constant setpoint
Value (V)
0

Stop buffer (mm), Syringe diameter (mm)
5,20.5

Time (ms),Force (N),Flowrate (ml/s),Control action (8 bit),Loadcell (24 bit),Ticks (rotations)
0,-3.52124,0.00115,0,-122443,1
32,-3.52246,0.00000,0,-122485,1
65,-3.52144,0.00000,0,-122450,1
146,-3.52208,0.00000,0,-122472,1
237,-3.52290,0.00000,0,-122500,1
328,-3.52272,0.00000,0,-122494,1
419,-3.52255,0.00000,0,-122488,1
510,-3.52234,0.00000,0,-122481,1
601,-3.52313,0.00000,0,-122508,1
692,-3.52249,0.00000,0,-122486,1
782,-3.52150,0.00000,0,-122452,1
873,-3.51990,0.00000,0,-122397,1
964,-3.51955,0.00000,0,-122385,1
1056,-3.52039,0.00000,0,-122414,1
1147,-3.52054,0.00000,0,-122419,1
1237,-3.52164,0.00000,0,-122457,1
1328,-3.52138,0.00000,0,-122448,1
1419,-3.52150,0.00000,0,-122452,1
1510,-3.52237,0.00000,0,-122482,1
1601,-3.52153,0.00000,0,-122453,1
1692,-3.51969,0.00000,0,-122390,1
1783,-3.52057,0.00000,0,-122420,1
1874,-3.52147,0.00000,0,-122451,1
1965,-3.52135,0.00000,0,-122447,1
2056,-3.52083,0.00000,0,-122429,1
2146,-3.52193,0.00000,0,-122467,1
2237,-3.52062,0.00000,0,-122422,1
2328,-3.51972,0.00000,0,-122391,1
2420,-3.52077,0.00000,0,-122427,1
2510,-3.52004,0.00000,0,-122402,1
2601,-3.51931,0.00000,0,-122377,1
2692,-3.51908,0.00000,0,-122369,1
2783,-3.52062,0.00000,0,-122422,1
2874,-3.52109,0.00000,0,-122438,1
2964,-3.52161,0.00000,0,-122456,1
3055,-3.52080,0.00000,0,-122428,1
3147,-3.52164,0.00000,0,-122457,1
3238,-3.52223,0.00000,0,-122477,1
3329,-3.52054,0.00000,0,-122419,1
3419,-3.51920,0.00000,0,-122373,1
3510,-3.51943,0.00000,0,-122381,1
3601,-3.52129,0.00000,0,-122445,1
3692,-3.51925,0.00000,0,-122375,1
3783,-3.51888,0.00000,0,-122362,1
3874,-3.51995,0.00000,0,-122399,1
3965,-3.52010,0.00000,0,-122404,1
4056,-3.51925,0.00000,0,-122375,1
4147,-3.52045,0.00000,0,-122416,1
4237,-3.52016,0.00000,0,-122406,1
4328,-3.52071,0.00000,0,-122425,1
4419,-3.52135,0.00000,0,-122447,1
4511,-3.52042,0.00000,0,-122415,1
4602,-3.51960,0.00000,0,-122387,1
4692,-3.52071,0.00000,0,-122425,1
4783,-3.51972,0.00000,0,-122391,1
4874,-3.51896,0.00000,0,-122365,1
4965,-3.51943,0.00000,0,-122381,1
5056,-3.52068,0.00000,0,-122424,1
5146,-3.52161,0.00000,0,-122456,1
5238,-3.52185,0.00000,0,-122464,1
5329,-3.52153,0.00000,0,-122453,1
5420,-3.52036,0.00000,0,-122413,1
5510,-3.51972,0.00000,0,-122391,1
5601,-3.51896,0.00000,0,-122365,1
5692,-3.51978,0.00000,0,-122393,1
5783,-3.52030,0.00000,0,-122411,1
5875,-3.52068,0.00000,0,-122424,1
5965,-3.52027,0.00000,0,-122410,1
6056,-3.52013,0.00000,0,-122405,1
6147,-3.51899,0.00000,0,-122366,1
6238,-3.52062,0.00000,0,-122422,1
6329,-3.52025,0.00000,0,-122409,1
6419,-3.51856,0.00000,0,-122351,1
6510,-3.51873,0.00000,0,-122357,1
6602,-3.51940,0.00000,0,-122380,1
6693,-3.52045,0.00000,0,-122416,1
6783,-3.52083,0.00000,0,-122429,1
6874,-3.52115,0.00000,0,-122440,1
6965,-3.52295,0.00000,0,-122502,1
7056,-3.52182,0.00000,0,-122463,1
